2025-03-03 12:52:53.988 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:52:54.115 | ERROR    | etl.utils.auth:authenticate:65 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 12:52:54.116 | ERROR    | etl.utils.auth:authenticate:67 - Response status: 404
2025-03-03 12:52:56.117 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:52:56.206 | ERROR    | etl.utils.auth:authenticate:65 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 12:52:56.206 | ERROR    | etl.utils.auth:authenticate:67 - Response status: 404
2025-03-03 12:52:58.209 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:52:58.331 | ERROR    | etl.utils.auth:authenticate:65 - Authentication failed: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/auth/token
2025-03-03 12:52:58.331 | ERROR    | etl.utils.auth:authenticate:67 - Response status: 404
