2025-03-03 12:06:05.442 | WARNING  | etl.validators.schema_validator:_load_schemas:32 - Schemas directory /Users/juliusrechenbach/API ProHandelTest/etl/validators/schemas does not exist
2025-03-03 12:06:05.933 | INFO     | lambda_function:lambda_handler:42 - Received event: {"request": {"operation": "sync"}}
2025-03-03 12:06:05.933 | INFO     | lambda_function:handle_sync:284 - Syncing entity: article
2025-03-03 12:06:05.933 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 1, pagesize 100)
2025-03-03 12:06:05.933 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:06:06.118 | INFO     | etl.utils.auth:authenticate:60 - Authentication successful
2025-03-03 12:06:06.349 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:06.349 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 2, pagesize 100)
2025-03-03 12:06:06.518 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:06.518 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 3, pagesize 100)
2025-03-03 12:06:06.713 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:06.713 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 4, pagesize 100)
2025-03-03 12:06:06.885 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:06.886 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 5, pagesize 100)
2025-03-03 12:06:07.066 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:07.066 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 6, pagesize 100)
2025-03-03 12:06:07.290 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:07.290 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 7, pagesize 100)
2025-03-03 12:06:07.480 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:07.480 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 8, pagesize 100)
2025-03-03 12:06:07.651 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:07.651 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 9, pagesize 100)
2025-03-03 12:06:07.826 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:07.826 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 10, pagesize 100)
2025-03-03 12:06:08.122 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:06:08.122 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for article
2025-03-03 12:06:08.122 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for article
2025-03-03 12:06:08.149 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for article
2025-03-03 12:06:08.149 | INFO     | lambda_function:handle_sync:284 - Syncing entity: customer
2025-03-03 12:06:08.149 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 1, pagesize 100)
2025-03-03 12:06:08.402 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:06:08.403 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 2, pagesize 100)
2025-03-03 12:06:08.684 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:06:08.685 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 3, pagesize 100)
2025-03-03 12:06:08.909 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
