2025-03-03 12:03:39.402 | WARNING  | etl.validators.schema_validator:_load_schemas:32 - Schemas directory /Users/juliusrechenbach/API ProHandelTest/etl/validators/schemas does not exist
2025-03-03 12:03:39.725 | INFO     | lambda_function:lambda_handler:41 - Received event: {"request": {"operation": "sync"}}
2025-03-03 12:03:39.725 | INFO     | lambda_function:handle_sync:283 - Syncing entity: article
2025-03-03 12:03:39.725 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 1, pagesize 100)
2025-03-03 12:03:39.725 | INFO     | etl.utils.auth:authenticate:42 - Authenticating with ProHandel API...
2025-03-03 12:03:39.892 | INFO     | etl.utils.auth:authenticate:60 - Authentication successful
2025-03-03 12:03:40.069 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:40.070 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 2, pagesize 100)
2025-03-03 12:03:40.267 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:40.267 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 3, pagesize 100)
2025-03-03 12:03:40.468 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:40.468 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 4, pagesize 100)
2025-03-03 12:03:40.657 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:40.657 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 5, pagesize 100)
2025-03-03 12:03:40.837 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:40.838 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 6, pagesize 100)
2025-03-03 12:03:41.038 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:41.038 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 7, pagesize 100)
2025-03-03 12:03:41.270 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:41.270 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 8, pagesize 100)
2025-03-03 12:03:41.468 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:41.468 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 9, pagesize 100)
2025-03-03 12:03:41.704 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:41.705 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching article data (page 10, pagesize 100)
2025-03-03 12:03:41.949 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for article, skipping validation
2025-03-03 12:03:41.949 | WARNING  | lambda_function:handle_sync:309 - Reached maximum page limit for article
2025-03-03 12:03:41.949 | INFO     | lambda_function:handle_sync:317 - Enhancing 1000 records for article
2025-03-03 12:03:41.970 | INFO     | lambda_function:handle_sync:332 - Found 1000 records for article
2025-03-03 12:03:41.971 | INFO     | lambda_function:handle_sync:283 - Syncing entity: customer
2025-03-03 12:03:41.971 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 1, pagesize 100)
2025-03-03 12:03:42.175 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:42.175 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 2, pagesize 100)
2025-03-03 12:03:42.394 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:42.394 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 3, pagesize 100)
2025-03-03 12:03:42.620 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:42.620 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 4, pagesize 100)
2025-03-03 12:03:42.842 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:42.842 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 5, pagesize 100)
2025-03-03 12:03:43.059 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:43.059 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 6, pagesize 100)
2025-03-03 12:03:43.271 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:43.271 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 7, pagesize 100)
2025-03-03 12:03:43.499 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:43.499 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 8, pagesize 100)
2025-03-03 12:03:43.721 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:43.721 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 9, pagesize 100)
2025-03-03 12:03:43.949 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:43.949 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching customer data (page 10, pagesize 100)
2025-03-03 12:03:44.184 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for customer, skipping validation
2025-03-03 12:03:44.185 | WARNING  | lambda_function:handle_sync:309 - Reached maximum page limit for customer
2025-03-03 12:03:44.185 | INFO     | lambda_function:handle_sync:317 - Enhancing 1000 records for customer
2025-03-03 12:03:44.208 | INFO     | lambda_function:handle_sync:332 - Found 1000 records for customer
2025-03-03 12:03:44.208 | INFO     | lambda_function:handle_sync:283 - Syncing entity: order
2025-03-03 12:03:44.208 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 1, pagesize 100)
2025-03-03 12:03:45.241 | WARNING  | etl.validators.schema_validator:validate_batch:82 - No schema found for order, skipping validation
2025-03-03 12:03:45.241 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 2, pagesize 100)
