2025-03-03 12:28:45.746 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:45.747 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 3, pagesize 100)
2025-03-03 12:28:46.799 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:46.799 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 4, pagesize 100)
2025-03-03 12:28:47.934 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:47.934 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 5, pagesize 100)
2025-03-03 12:28:49.001 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:49.001 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 6, pagesize 100)
2025-03-03 12:28:49.982 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:49.982 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 7, pagesize 100)
2025-03-03 12:28:50.979 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:50.979 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 8, pagesize 100)
2025-03-03 12:28:52.041 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:52.042 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 9, pagesize 100)
2025-03-03 12:28:53.128 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:53.128 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching order data (page 10, pagesize 100)
2025-03-03 12:28:54.171 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for order
2025-03-03 12:28:54.171 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for order
2025-03-03 12:28:54.171 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for order
2025-03-03 12:28:54.179 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for order
2025-03-03 12:28:54.179 | INFO     | lambda_function:handle_sync:284 - Syncing entity: orderposition
2025-03-03 12:28:54.179 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching orderposition data (page 1, pagesize 100)
2025-03-03 12:28:54.673 | ERROR    | etl.connectors.prohandel_connector:_make_request:78 - All URL patterns failed for endpoint orderposition
2025-03-03 12:28:56.605 | ERROR    | etl.connectors.prohandel_connector:_make_request:78 - All URL patterns failed for endpoint orderposition
2025-03-03 12:29:01.122 | ERROR    | etl.connectors.prohandel_connector:_make_request:78 - All URL patterns failed for endpoint orderposition
2025-03-03 12:29:01.123 | ERROR    | etl.connectors.prohandel_connector:get_entity_list:121 - Error fetching orderposition data: 404 Client Error: Not Found for url: https://linde.prohandel.de/api/v2/orderposition?page=1&pagesize=100
2025-03-03 12:29:01.123 | INFO     | lambda_function:handle_sync:336 - No new data for orderposition
2025-03-03 12:29:01.123 | INFO     | lambda_function:handle_sync:284 - Syncing entity: sale
2025-03-03 12:29:01.123 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 1, pagesize 100)
2025-03-03 12:29:02.867 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:02.867 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 2, pagesize 100)
2025-03-03 12:29:04.220 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:04.220 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 3, pagesize 100)
2025-03-03 12:29:05.935 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:05.935 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 4, pagesize 100)
2025-03-03 12:29:07.957 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:07.959 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 5, pagesize 100)
2025-03-03 12:29:10.414 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:10.415 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 6, pagesize 100)
2025-03-03 12:29:13.959 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:13.959 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 7, pagesize 100)
2025-03-03 12:29:16.856 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:16.856 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 8, pagesize 100)
2025-03-03 12:29:18.570 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:18.570 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 9, pagesize 100)
2025-03-03 12:29:21.273 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:21.273 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching sale data (page 10, pagesize 100)
2025-03-03 12:29:23.869 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for sale
2025-03-03 12:29:23.869 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for sale
2025-03-03 12:29:23.869 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for sale
2025-03-03 12:29:23.878 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for sale
2025-03-03 12:29:23.878 | INFO     | lambda_function:handle_sync:284 - Syncing entity: inventory
2025-03-03 12:29:23.878 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 1, pagesize 100)
2025-03-03 12:29:24.117 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:24.117 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 2, pagesize 100)
2025-03-03 12:29:24.332 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:24.332 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 3, pagesize 100)
2025-03-03 12:29:24.546 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:24.546 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 4, pagesize 100)
2025-03-03 12:29:24.787 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:24.787 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 5, pagesize 100)
2025-03-03 12:29:24.978 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:24.978 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 6, pagesize 100)
2025-03-03 12:29:25.248 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:25.248 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 7, pagesize 100)
2025-03-03 12:29:25.468 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:25.468 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 8, pagesize 100)
2025-03-03 12:29:25.671 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:25.671 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 9, pagesize 100)
2025-03-03 12:29:25.919 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:25.919 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching inventory data (page 10, pagesize 100)
2025-03-03 12:29:26.142 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for inventory
2025-03-03 12:29:26.142 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for inventory
2025-03-03 12:29:26.142 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for inventory
2025-03-03 12:29:26.146 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for inventory
2025-03-03 12:29:26.146 | INFO     | lambda_function:handle_sync:284 - Syncing entity: supplier
2025-03-03 12:29:26.146 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 1, pagesize 100)
2025-03-03 12:29:26.455 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:26.455 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 2, pagesize 100)
2025-03-03 12:29:26.774 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:26.774 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 3, pagesize 100)
2025-03-03 12:29:27.095 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:27.095 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 4, pagesize 100)
2025-03-03 12:29:27.432 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:27.432 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 5, pagesize 100)
2025-03-03 12:29:27.750 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:27.750 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 6, pagesize 100)
2025-03-03 12:29:28.186 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:28.186 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 7, pagesize 100)
2025-03-03 12:29:28.529 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:28.529 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 8, pagesize 100)
2025-03-03 12:29:28.870 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for supplier
2025-03-03 12:29:28.870 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 9, pagesize 100)
2025-03-03 12:29:29.248 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 76/76 items for supplier
2025-03-03 12:29:29.248 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching supplier data (page 10, pagesize 100)
2025-03-03 12:29:29.350 | INFO     | lambda_function:handle_sync:318 - Enhancing 876 records for supplier
2025-03-03 12:29:29.350 | INFO     | lambda_function:handle_sync:333 - Found 876 records for supplier
2025-03-03 12:29:29.350 | INFO     | lambda_function:handle_sync:284 - Syncing entity: category
2025-03-03 12:29:29.350 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching category data (page 1, pagesize 100)
2025-03-03 12:29:29.564 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for category
2025-03-03 12:29:29.565 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching category data (page 2, pagesize 100)
2025-03-03 12:29:29.783 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for category
2025-03-03 12:29:29.783 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching category data (page 3, pagesize 100)
2025-03-03 12:29:29.974 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 87/87 items for category
2025-03-03 12:29:29.974 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching category data (page 4, pagesize 100)
2025-03-03 12:29:30.135 | INFO     | lambda_function:handle_sync:318 - Enhancing 287 records for category
2025-03-03 12:29:30.135 | INFO     | lambda_function:handle_sync:333 - Found 287 records for category
2025-03-03 12:29:30.135 | INFO     | lambda_function:handle_sync:284 - Syncing entity: invoice
2025-03-03 12:29:30.135 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 1, pagesize 100)
2025-03-03 12:29:30.378 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:30.378 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 2, pagesize 100)
2025-03-03 12:29:30.709 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:30.709 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 3, pagesize 100)
2025-03-03 12:29:30.942 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:30.942 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 4, pagesize 100)
2025-03-03 12:29:31.206 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:31.206 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 5, pagesize 100)
2025-03-03 12:29:31.577 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:31.577 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 6, pagesize 100)
2025-03-03 12:29:31.864 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:31.864 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 7, pagesize 100)
2025-03-03 12:29:32.159 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:32.160 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 8, pagesize 100)
2025-03-03 12:29:32.400 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:32.400 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 9, pagesize 100)
2025-03-03 12:29:32.643 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:32.643 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching invoice data (page 10, pagesize 100)
2025-03-03 12:29:32.886 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for invoice
2025-03-03 12:29:32.886 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for invoice
2025-03-03 12:29:32.886 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for invoice
2025-03-03 12:29:32.886 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for invoice
2025-03-03 12:29:32.886 | INFO     | lambda_function:handle_sync:284 - Syncing entity: payment
2025-03-03 12:29:32.886 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 1, pagesize 100)
2025-03-03 12:29:33.135 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:33.135 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 2, pagesize 100)
2025-03-03 12:29:33.392 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:33.392 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 3, pagesize 100)
2025-03-03 12:29:33.653 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:33.653 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 4, pagesize 100)
2025-03-03 12:29:33.936 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:33.936 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 5, pagesize 100)
2025-03-03 12:29:34.416 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:34.416 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 6, pagesize 100)
2025-03-03 12:29:35.519 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:35.519 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 7, pagesize 100)
2025-03-03 12:29:35.817 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:35.817 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 8, pagesize 100)
2025-03-03 12:29:36.078 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:36.078 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 9, pagesize 100)
2025-03-03 12:29:36.338 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:36.338 | INFO     | etl.connectors.prohandel_connector:get_entity_list:106 - Fetching payment data (page 10, pagesize 100)
2025-03-03 12:29:36.652 | INFO     | etl.validators.schema_validator:validate_batch:94 - Validated 100/100 items for payment
2025-03-03 12:29:36.652 | WARNING  | lambda_function:handle_sync:310 - Reached maximum page limit for payment
2025-03-03 12:29:36.652 | INFO     | lambda_function:handle_sync:318 - Enhancing 1000 records for payment
2025-03-03 12:29:36.652 | INFO     | lambda_function:handle_sync:333 - Found 1000 records for payment
2025-03-03 12:29:36.659 | ERROR    | lambda_function:handle_sync:351 - Error creating sales aggregations: "Column(s) ['number', 'total'] do not exist"
